Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1588.9680408863785
FDW14,OUT017,1472.7100336976393
NCN55,OUT010,569.3731271081245
FDQ58,OUT017,2510.791768647579
FDY38,OUT027,6013.256437781321
FDH56,OUT046,1945.2378623708557
FDL48,OUT018,710.2116238016365
FDC48,OUT027,2379.445684247837
FDN33,OUT045,1515.6840085421254
FDA36,OUT017,3054.5686469563384
FDT44,OUT017,1970.6743102893547
FDQ56,OUT045,1472.7100336976393
NCC54,OUT019,715.867879309964
FDU11,OUT049,1996.663163345343
DRL59,OUT013,739.8437108869438
FDM24,OUT049,2486.9203792590474
FDI57,OUT045,3054.5686469563384
DRC12,OUT018,3054.5686469563384
NCM42,OUT027,2666.204765907639
FDA46,OUT010,510.8268150299608
FDA31,OUT013,2962.366145400273
NCJ31,OUT035,3836.7935824016818
FDG52,OUT046,710.2116238016365
NCL19,OUT019,312.1497707509205
FDS10,OUT035,3023.158842981467
FDX22,OUT010,539.2272876652572
NCF19,OUT035,710.2116238016365
NCE06,OUT046,2510.791768647579
DRC27,OUT046,3864.9807589012307
FDE21,OUT035,1945.2378623708557
NCR42,OUT019,78.29266804998224
FDX51,OUT018,3054.5686469563384
NCR06,OUT018,670.6899493495463
FDU31,OUT027,5588.980751237707
FDU59,OUT017,2510.791768647579
FDR03,OUT027,5689.754574391442
FDS49,OUT027,2264.267820623574
FDD48,OUT010,266.12374921907974
NCF18,OUT017,3054.5686469563384
NCD43,OUT027,2580.4772774024614
NCD54,OUT018,2225.0877649348545
FDY19,OUT010,271.6063160199842
NCY54,OUT017,2962.366145400273
NCL19,OUT018,2419.162707433675
FDP23,OUT010,507.396768005746
FDC26,OUT013,1660.4328774813491
FDR14,OUT010,179.1834720226334
NCS41,OUT035,3054.5686469563384
FDF41,OUT035,4006.2382873202405
FDU34,OUT046,1996.663163345343
DRH11,OUT046,843.5475935855148
FDM03,OUT013,1588.9680408863785
FDS31,OUT017,3023.158842981467
FDJ20,OUT017,1996.663163345343
FDV44,OUT027,5578.183160813543
FDG02,OUT049,3054.5686469563384
FDA09,OUT013,2996.211418730795
FDT04,OUT013,670.6899493495463
FDL58,OUT019,548.6833224509111
FDE52,OUT045,1515.6840085421254
FDW12,OUT035,2419.162707433675
FDL51,OUT017,3677.280210283074
NCY42,OUT027,3557.006965185752
FDR07,OUT017,1515.6840085421254
FDN40,OUT045,2510.791768647579
FDB35,OUT027,2544.128919788268
FDA22,OUT017,2556.163416587813
NCL06,OUT046,4240.04934106879
FDI35,OUT013,3023.158842981467
NCW42,OUT045,3677.280210283074
NCX06,OUT049,2996.211418730795
FDC37,OUT027,2580.4772774024614
FDZ14,OUT018,1996.663163345343
DRG49,OUT049,3864.9807589012307
NCG06,OUT045,4197.71339273097
DRC36,OUT045,2962.366145400273
FDV21,OUT019,273.35604619700257
FDB53,OUT046,2465.946663289927
DRP47,OUT019,580.5486542240177
FDA14,OUT013,2444.475352975718
DRC24,OUT035,2510.791768647579
FDW21,OUT018,1563.313739425957
NCH29,OUT046,1515.6840085421254
FDU58,OUT013,3054.5686469563384
FDY27,OUT017,2962.366145400273
FDV56,OUT035,1588.9680408863785
FDT59,OUT046,3706.4020069019775
FDB23,OUT046,3706.4020069019775
FDR49,OUT045,710.2116238016365
FDB03,OUT010,586.136036841444
FDN39,OUT045,2556.163416587813
FDX02,OUT027,5731.616656560744
FDQ16,OUT027,2580.4772774024614
FDU35,OUT018,1515.6840085421254
NCT29,OUT013,1996.663163345343
FDZ27,OUT046,710.2116238016365
FDN57,OUT017,2056.553493029153
FDA03,OUT018,2444.475352975718
FDZ36,OUT045,3054.5686469563384
NCU05,OUT013,1437.091501991502
FDT39,OUT018,2486.9203792590474
FDK60,OUT017,1515.6840085421254
FDZ25,OUT017,2801.4661999916043
FDG12,OUT046,1996.663163345343
DRB01,OUT019,588.4678045183045
NCC43,OUT027,6013.256437781321
FDX13,OUT019,564.0802446977768
FDM22,OUT049,797.1200066038567
FDJ03,OUT027,1265.1527821872628
FDU14,OUT018,4118.151118280799
FDB33,OUT010,396.4082001051737
FDP27,OUT046,3054.5686469563384
FDO38,OUT010,189.18683694419897
FDE28,OUT027,6071.037931892042
FDO27,OUT035,1515.6840085421254
DRL23,OUT027,2580.4772774024614
FDS28,OUT046,843.5475935855148
FDX24,OUT013,1515.6840085421254
FDZ02,OUT035,1515.6840085421254
FDL46,OUT045,1945.2378623708557
FDS60,OUT027,5238.097221523391
NCO06,OUT017,670.6899493495463
FDO16,OUT035,1472.7100336976393
FDC60,OUT049,1472.7100336976393
FDA48,OUT018,3677.280210283074
FDZ36,OUT027,5445.9945986131615
FDK27,OUT045,1996.663163345343
FDW23,OUT018,670.6899493495463
FDM14,OUT018,1635.7613328051284
FDM14,OUT013,1588.9680408863785
FDW60,OUT018,2962.366145400273
FDE21,OUT013,1945.2378623708557
NCM42,OUT035,1588.9680408863785
FDY59,OUT010,246.244483060228
DRI49,OUT049,1437.091501991502
FDT28,OUT019,357.7778898793138
FDQ22,OUT018,670.6899493495463
FDR60,OUT049,1345.2470548156482
FDC50,OUT019,227.2620449919821
FDV24,OUT013,2486.9203792590474
DRF48,OUT010,591.0241489379229
FDQ47,OUT046,670.6899493495463
DRN36,OUT049,1515.6840085421254
NCY06,OUT035,1996.663163345343
FDE52,OUT035,1515.6840085421254
NCB54,OUT045,1996.663163345343
NCF31,OUT035,2510.791768647579
FDJ08,OUT027,5578.183160813543
NCC07,OUT017,1588.9680408863785
NCD19,OUT027,1693.1465916320067
FDL46,OUT049,1970.6743102893547
FDM20,OUT045,3864.9807589012307
NCI06,OUT010,498.7075337077478
DRM11,OUT035,4240.04934106879
NCH07,OUT018,2510.791768647579
FDS23,OUT013,1996.663163345343
