Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1603.1407362891994
FDW14,OUT017,1373.5718893473954
NCN55,OUT010,576.4943933655101
FDQ58,OUT017,2464.44587653976
FDY38,OUT027,6379.307312091124
FDH56,OUT046,1977.6550895799942
FDL48,OUT018,738.7194848935596
FDC48,OUT027,2124.1675692659305
FDN33,OUT045,1539.7701239166283
FDA36,OUT017,3039.3558567913174
FDT44,OUT017,1989.4769690030569
FDQ56,OUT045,1387.5550873411737
NCC54,OUT019,781.2443559292185
FDU11,OUT049,2024.258552020776
DRL59,OUT013,780.3337457139512
FDM24,OUT049,2495.9229149045823
FDI57,OUT045,3030.8488673303236
DRC12,OUT018,2973.269990734671
NCM42,OUT027,2789.2221778403095
FDA46,OUT010,474.0269686625848
FDA31,OUT013,2875.337419819087
NCJ31,OUT035,3872.8745990933176
FDG52,OUT046,764.5114151343803
NCL19,OUT019,324.2710846089669
FDS10,OUT035,3015.3710121562663
FDX22,OUT010,521.7846005172784
NCF19,OUT035,764.5114151343803
NCE06,OUT046,2534.059994257648
DRC27,OUT046,4000.3754040380113
FDE21,OUT035,1955.4230622831924
NCR42,OUT019,69.49304104297266
FDX51,OUT018,3019.222469813615
NCR06,OUT018,596.3945151568327
FDU31,OUT027,5503.887747686533
FDU59,OUT017,2519.999763021682
FDR03,OUT027,5507.36290863549
FDS49,OUT027,2156.139700499285
FDD48,OUT010,221.79876212732745
NCF18,OUT017,3030.8488673303236
NCD43,OUT027,2506.73312974247
NCD54,OUT018,2098.6095148106897
FDY19,OUT010,248.170821974655
NCY54,OUT017,2896.3461808146394
NCL19,OUT018,2379.983806259092
FDP23,OUT010,465.8870692212807
FDC26,OUT013,1734.3061624515396
FDR14,OUT010,174.85939585343715
NCS41,OUT035,3076.801346409268
FDF41,OUT035,4031.2391422098613
FDU34,OUT046,2037.7198536294325
DRH11,OUT046,850.9539457083267
FDM03,OUT013,1603.1407362891994
FDS31,OUT017,3061.323491235211
FDJ20,OUT017,2005.128331781474
FDV44,OUT027,4855.441778347573
FDG02,OUT049,3076.801346409268
FDA09,OUT013,3012.248312258594
FDT04,OUT013,605.1165629750764
FDL58,OUT019,563.015088938439
FDE52,OUT045,1392.4084539274743
FDW12,OUT035,2495.9229149045823
FDL51,OUT017,3629.1574625398116
NCY42,OUT027,3197.9738489776596
FDR07,OUT017,1554.1008386065528
FDN40,OUT045,2472.1714330752634
FDB35,OUT027,2615.15138686414
